날짜,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈,S&P 500 ETF,QQQ ETF
2026-01-26,55969200,29291200,32825500,26042100,18502500,16327400,49397400,124799600,2458700,40941900,9971400,149407800,24714400,43266700,6589600,3116100,3703900,14106700,9762400,29193900,25006400,4115300,9169300,30672500,4777200,60473800,35983000
2026-01-27,49648300,29213900,38029200,21636200,16080900,13297400,37733100,143711600,2077900,37790800,14240700,121832200,17756700,40826400,7114900,3269600,3520800,16403600,10450600,36212100,25537600,4166300,10748800,25691600,8033000,55506100,38997200
2026-01-28,41288000,36875400,40882700,27434400,17538500,25709600,54857400,148552700,2474800,37762600,19222700,201995100,14022900,46428800,5954100,2347800,5107500,25961600,9809400,42725700,23001700,3942800,19603400,27061200,8470000,61172200,50691700
2026-01-29,67253000,128855300,47229600,39785600,24548300,59852900,81686100,171764400,1825000,42278100,19463500,124256600,22642900,65923400,9062300,3153100,6945200,16602900,11868700,42675700,20447500,7410800,14120000,31685200,7350500,97486200,79944000
2026-01-30,92443400,58566800,46585000,31024000,21740200,23744600,82626100,179489500,2396300,45755000,18607800,114920100,26458400,51300200,12641300,2522400,6719200,10748000,11539900,51022900,28313000,5713000,9086800,40035700,9814100,101835100,65650700
2026-02-02,73913400,42219900,37546100,32006100,22775200,14365200,58739500,165794100,2451300,41445300,27452900,101414600,28238600,31343400,14660500,1899900,4514500,8675100,16530500,37771200,17278200,4357000,11194900,36308100,7409600,79286500,49020300
2026-02-03,64394700,61424100,53831300,36506700,25786500,13760700,56886500,204019600,2960700,49789000,141690600,122205100,34962100,37200800,19096400,4040000,4531400,8361300,15322700,42763300,36914800,8324900,15207600,53097100,10697000,107904600,81234000
2026-02-04,90545700,45012400,51299900,70618400,36991100,16882800,74606900,207014100,2631500,48963200,58018000,128702300,39765700,41031100,13322900,5899600,5943100,9077100,20600400,58074900,43330300,8554200,14542500,107173300,14719400,105204600,81850700
2026-02-05,52977400,66289200,103509200,88205800,51842000,17131800,72819800,206312900,2988800,54805700,42842800,114307800,24236500,30243800,11038800,4007300,5017500,6776700,13028400,38899500,42775800,6293600,11044200,62196400,8514300,113610800,89354500
2026-02-06,50453400,53515300,179210900,56380500,33877000,18159300,62677100,231346200,2358600,46154100,34921700,115600200,23936600,30791600,10960400,3840300,3976500,8067100,10807100,37196000,33003400,5448400,9397500,54504500,8344400,89127600,78019300
2026-02-09,44623400,45480500,91178400,39640100,26103300,14837500,54484300,196387400,1861700,42200200,26034300,94841400,22908400,24316900,10316200,2843700,3006700,7150600,12254600,31009600,30091000,6576300,9246700,38810800,7458900,73885200,56797600
2026-02-10,34376900,44857900,67175000,39170000,25281900,10455800,64450200,136764800,1781500,43595800,22787700,99832900,32113800,32111400,10352500,3526400,3888800,8543500,12195800,35433800,19542700,5718600,5101000,25326700,6785800,65185700,53938900
2026-02-11,51931300,42491000,65545500,45406400,24008100,14323800,57362000,144192700,1769400,40840300,21538900,107681200,34455800,27355300,6733400,2826000,4192200,6949100,8570900,48475000,17004700,8759900,9132600,33384700,7160900,76353900,58575100
2026-02-12,81077200,40802400,83975400,47761300,28194000,14960100,61933400,189932500,2970400,73516100,28004800,88321200,68098600,34309400,9516300,2374500,6536100,9537300,11966500,45639100,22007300,8657000,8474700,32181000,9764400,118829000,81378900
2026-02-13,56290700,34091600,66321600,38499700,20236000,12336400,51434100,161888000,2661600,42292100,25092400,69740400,42886400,28487900,9286100,2414200,5330200,8949000,11915000,33807600,18397200,6589700,5011900,26123900,15706000,96267500,69237500
2026-02-17,58469100,32078800,69879200,39247600,23750800,12674700,59678800,162276900,1732200,35961500,20342500,65802200,24792700,28089700,8749800,2255400,3699800,8660000,8970700,28549500,23469700,5208300,5454800,33712100,8791300,81354700,69013800
2026-02-18,34203300,23223400,51003300,28482100,15847700,14649200,45921400,164749100,1926800,29883100,17925500,65306100,20648800,20768600,7239800,2731900,2853200,6068100,7887000,32306600,13565300,5033200,6667800,35664100,8784300,73570300,64250700
2026-02-19,30845300,28234000,35669600,25834400,13448600,10035700,51019600,126554500,1750000,30139200,24646900,72724900,18443200,25767800,6155800,2427000,2360100,5676700,10733100,21651300,15180900,3616200,5002200,25842300,6640100,58649400,60960800
2026-02-20,42070500,34015200,65881600,53210800,33663100,14183500,57912200,178422300,1662200,32411300,23174000,90743600,29461600,25242200,4811800,2911700,2681200,8788300,9491500,29894900,17658900,6590800,5457500,36317300,8178700,100034000,74127300
2026-02-23,37308200,43238300,53581500,31423000,17641200,8605900,69680000,171584800,1489300,38363000,75619500,57130900,24485900,19564600,6801600,2951400,2496100,7696700,9489000,25426600,16472400,7602400,7877400,28187900,6077400,90558100,63859100
2026-02-24,47014600,33884700,41137200,25615600,15040700,10135600,58579500,175123600,1671100,33079100,58557200,98872300,19485100,20735400,6319800,2454700,2575500,6537300,7349600,33389200,23614400,5529100,9494300,81367000,5711800,73798700,55023700
2026-02-25,33714300,43625500,41346400,29963600,20209100,11330700,54809700,250637100,1554600,69319300,42794100,75645300,22721800,32273600,6832700,2459500,3368600,6294100,6866100,27296300,20182300,5108600,6997300,44588100,9745000,56369500,55710700
